date,code,open,close,high,low,volume,amount,turn,pbMRQ,pctChg
2018-03-30,sh.601601,34.8400,33.9300,34.9900,33.6800,44748341,1526335743.0000,0.711794,2.236205,-3.498292
2018-04-02,sh.601601,33.7500,33.4700,34.4800,33.3700,38932056,1320142260.0000,0.619277,2.205888,-1.355730
2018-04-03,sh.601601,33.0600,33.1800,33.5300,32.8400,35000742,1158811210.0000,0.556743,2.186775,-0.866450
2018-04-04,sh.601601,33.4500,33.1800,33.5700,32.9600,31334470,1043520874.0000,0.498425,2.186775,0.000000
2018-04-09,sh.601601,33.3000,33.8300,33.9000,33.1100,27939480,939604928.0000,0.444422,2.229614,1.959016
2018-04-10,sh.601601,33.7500,34.4600,34.5300,33.5700,37991524,1293094014.0000,0.604316,2.271135,1.862244
2018-04-11,sh.601601,34.4600,34.2400,34.6600,34.1200,25287153,868651580.0000,0.402233,2.256636,-0.638414
2018-04-12,sh.601601,34.3000,33.3900,34.3400,33.3800,25901784,874783277.0000,0.412009,2.200615,-2.482483
2018-04-13,sh.601601,33.7500,32.9800,33.8200,32.8700,23424793,777058226.0000,0.372609,2.173594,-1.227912
2018-04-16,sh.601601,32.9300,32.6500,33.2600,32.2500,28584811,936706945.0000,0.454687,2.151844,-1.000600
2018-04-17,sh.601601,32.9300,32.1900,33.0900,32.0600,23809836,776582556.0000,0.378733,2.121527,-1.408891
2018-04-18,sh.601601,32.4300,31.9800,32.6000,31.8500,30305879,974863788.0000,0.482063,2.107687,-0.652374
2018-04-19,sh.601601,32.1800,32.1800,32.4700,31.8600,35046941,1127362590.0000,0.557478,2.120868,0.625393
2018-04-20,sh.601601,32.0500,31.1700,32.1800,30.7600,35295335,1105108217.0000,0.561429,2.054303,-3.138596
2018-04-23,sh.601601,30.9900,31.6000,31.6500,30.7800,22042542,690632658.0000,0.350622,2.082643,1.379533
2018-04-24,sh.601601,31.6100,32.9900,33.1200,31.6100,43067807,1412213471.0000,0.685062,2.174253,4.398738
2018-04-25,sh.601601,32.7700,32.5400,32.9000,32.4200,18030012,588053913.0000,0.286796,2.144595,-1.364052
2018-04-26,sh.601601,32.7400,31.7100,32.8000,31.3100,23647226,751225182.0000,0.376147,2.089892,-2.550712
2018-04-27,sh.601601,31.8200,31.6000,32.0300,30.4500,34243368,1071383886.0000,0.544695,2.082643,-0.346890
2018-05-02,sh.601601,31.7500,31.9100,32.4200,31.7000,18903602,605405342.0000,0.300692,2.042236,0.981011
2018-05-03,sh.601601,31.8000,33.0100,33.1000,31.7200,27032966,879959474.0000,0.430002,2.112636,3.447190
2018-05-04,sh.601601,32.9500,32.6500,33.4900,32.6000,22380702,740648688.0000,0.356001,2.089596,-1.090569
2018-05-07,sh.601601,32.6600,33.8900,34.1700,32.6600,34886084,1175133157.0000,0.554919,2.168956,3.797849
2018-05-08,sh.601601,33.8200,35.7500,36.5400,33.8200,52141613,1850829910.0000,0.829396,2.287996,5.488347
2018-05-09,sh.601601,35.7600,35.9000,36.1500,35.2200,21935792,783498505.0000,0.348924,2.297596,0.419585
2018-05-10,sh.601601,36.0200,35.9600,36.4700,35.4200,21422761,768192846.0000,0.340763,2.301436,0.167124
2018-05-11,sh.601601,36.0200,35.3300,36.1300,35.1700,20415670,727119134.0000,0.324744,2.261116,-1.751939
2018-05-14,sh.601601,35.6700,36.1700,36.5500,35.5200,24161809,873304660.0000,0.384332,2.314876,2.377572
2018-05-15,sh.601601,36.2500,35.9400,36.4000,35.3500,14389263,515215048.0000,0.228884,2.300156,-0.635885
2018-05-16,sh.601601,35.6100,34.4900,35.6900,34.3800,29417714,1026653712.0000,0.467936,2.207356,-4.034493
2018-05-17,sh.601601,34.7600,34.1500,34.7700,33.9000,24984004,854189979.0000,0.397410,2.185596,-0.985793
2018-05-18,sh.601601,34.1500,34.9200,35.0300,33.6800,26306941,904338881.0000,0.418454,2.234876,2.254749
2018-05-21,sh.601601,34.9500,35.0700,35.4600,34.3500,28155845,983831183.0000,0.447864,2.244476,0.429558
2018-05-22,sh.601601,35.0000,34.3800,35.0000,34.0100,17977901,617900897.0000,0.285967,2.200316,-1.967490
2018-05-23,sh.601601,34.2100,33.3700,34.2700,33.3600,21101188,709647319.0000,0.335648,2.135676,-2.937761
2018-05-24,sh.601601,33.4000,33.3200,33.6400,33.1000,14297954,477118487.0000,0.227432,2.132476,-0.149833
2018-05-25,sh.601601,33.3500,33.2400,33.6800,32.7100,15763485,523430856.0000,0.250743,2.127356,-0.240090
2018-05-28,sh.601601,33.1900,33.3900,33.6300,32.8100,17894764,595579821.0000,0.284645,2.136956,0.451257
2018-05-29,sh.601601,33.2000,33.3300,33.3600,32.2000,29929148,982723723.0000,0.476071,2.133116,-0.179687
2018-05-30,sh.601601,32.8000,32.3300,32.8900,32.3000,19776489,644846420.0000,0.314577,2.069116,-3.000300
2018-05-31,sh.601601,32.6100,33.2700,33.3500,32.3200,25921375,853744242.0000,0.412321,2.129276,2.907512
2018-06-01,sh.601601,33.0800,33.0700,33.6400,32.8000,15939786,528433718.0000,0.253548,2.116476,-0.601144
2018-06-04,sh.601601,33.4000,34.3400,34.4800,33.1600,26314094,895820878.0000,0.418568,2.197756,3.840340
2018-06-05,sh.601601,34.3200,34.5400,35.0800,33.9000,29227030,1008331680.0000,0.464903,2.210556,0.582413
